rounds,homes,aways
3,Nice,Lille
8,Dijon,Montpellier
9,Rennes,Bordeaux
13,Bastia,Montpellier
1,Metz,Lille
2,Lorient,Bastia
10,Dijon,Lorient
5,Montpellier,Nice
9,Bastia,Angers
8,Angers,Marseille
5,Monaco,Rennes
10,Bordeaux,Nancy
15,Guingamp,Nice
10,Caen,Etienne
14,Metz,Lorient
2,Rennes,Nancy
4,Guingamp,Montpellier
19,Metz,Guingamp
16,Montpellier,PSG
10,Monaco,Montpellier
7,Bastia,Guingamp
1,Nice,Rennes
1,Caen,Lorient
17,Nantes,Caen
5,Toulouse,Guingamp
19,Bastia,Marseille
6,Lyon,Montpellier
5,Dijon,Metz
11,Lorient,Montpellier
6,Metz,Bordeaux
13,Marseille,Caen
18,Lorient,Etienne
3,Metz,Angers
14,Caen,Guingamp
3,Nancy,Guingamp
14,Rennes,Toulouse
1,Montpellier,Angers
6,Rennes,Marseille
4,PSG,Etienne
2,Nantes,Monaco
15,Lorient,Rennes
4,Angers,Dijon
11,Toulouse,Lyon
2,Guingamp,Marseille
5,Nancy,Nantes
14,Montpellier,Nancy
12,Bordeaux,Lorient
9,Nice,Lyon
17,Etienne,Guingamp
7,Nancy,Nice
10,Angers,Toulouse
13,Etienne,Nice
19,Lille,Rennes
11,Guingamp,Angers
11,Lille,PSG
2,Toulouse,Bordeaux
7,Montpellier,Metz
11,Rennes,Metz
18,Guingamp,PSG
2,PSG,Metz
3,Dijon,Lyon
17,Nancy,Angers
10,Nantes,Rennes
8,Rennes,Guingamp
4,Lorient,Nancy
16,Nice,Toulouse
13,Lorient,Monaco
8,Lille,Nancy
3,Marseille,Lorient
10,Metz,Nice
14,Lyon,PSG
17,Lyon,Rennes
13,Lille,Lyon
15,Toulouse,Montpellier
5,Caen,PSG
16,Guingamp,Nantes
1,Monaco,Guingamp
7,Dijon,Rennes
18,Angers,Nantes
7,Monaco,Angers
16,Rennes,Etienne
15,Nancy,Metz
4,Nice,Marseille
17,Bastia,Metz
3,Etienne,Toulouse
18,Marseille,Lille
6,Guingamp,Lorient
5,Lorient,Lille
16,Marseille,Nancy
5,Etienne,Bastia
18,Toulouse,Nancy
18,Montpellier,Bordeaux
3,Caen,Bastia
7,Marseille,Nantes
18,Caen,Metz
15,PSG,Angers
12,PSG,Rennes
17,Lille,Montpellier
16,Angers,Lorient
19,Nantes,Montpellier
3,Bordeaux,Nantes
15,Dijon,Monaco
11,Bastia,Dijon
9,Marseille,Metz
7,Lorient,Lyon
12,Monaco,Nancy
14,Nantes,Lille
12,Angers,Lille
19,Lyon,Angers
7,Toulouse,PSG
4,Rennes,Caen
12,Caen,Nice
5,Marseille,Lyon
14,Bordeaux,Dijon
6,Nantes,Etienne
12,Lyon,Bastia
1,Bastia,PSG
14,Angers,Etienne
10,Lyon,Guingamp
2,Angers,Nice
13,Guingamp,Bordeaux
7,Etienne,Lille
15,Lille,Caen
9,Nancy,PSG
16,Caen,Dijon
4,Lille,Monaco
18,Rennes,Bastia
12,Nantes,Toulouse
2,Etienne,Montpellier
6,Angers,Caen
12,Metz,Etienne
11,Nancy,Caen
15,Nantes,Lyon
9,Toulouse,Monaco
17,Toulouse,Lorient
8,PSG,Bordeaux
10,Lille,Bastia
17,Bordeaux,Monaco
18,Monaco,Lyon
19,Dijon,Toulouse
13,Nancy,Dijon
11,Marseille,Bordeaux
10,PSG,Marseille
19,Monaco,Caen
1,Nancy,Lyon
19,PSG,Lorient
3,Monaco,PSG
1,Marseille,Toulouse
8,Lyon,Etienne
1,Bordeaux,Etienne
9,Lorient,Nantes
17,Dijon,Marseille
13,Toulouse,Metz
15,Bastia,Bordeaux
1,Dijon,Nantes
5,Bordeaux,Angers
4,Bastia,Toulouse
11,Etienne,Monaco
16,Monaco,Bastia
3,Montpellier,Rennes
9,Montpellier,Caen
12,Dijon,Guingamp
13,Rennes,Angers
2,Lyon,Caen
9,Etienne,Dijon
17,PSG,Nice
4,Lyon,Bordeaux
15,Etienne,Marseille
7,Bordeaux,Caen
2,Lille,Dijon
12,Montpellier,Marseille
6,PSG,Dijon
14,Monaco,Marseille
16,Metz,Lyon
8,Nice,Lorient
19,Bordeaux,Nice
4,Nantes,Metz
16,Bordeaux,Lille
6,Nice,Monaco
8,Metz,Monaco
6,Bastia,Nancy
19,Etienne,Nancy
6,Lille,Toulouse
14,Nice,Bastia
8,Nantes,Bastia
11,Nice,Nantes
8,Caen,Toulouse
9,Guingamp,Lille
13,PSG,Nantes
18,Nice,Dijon
